NFL DRAFT 2020-2025 CORNERBACK HIGH SCHOOL COMBINE DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YEAR,PICK,ROUND,PICK #,PLAYER,NAME,TEAM,SCHOOL,HT,WT,WING,HAND,40,SHUT,3 CONE,VERT,BROAD,100M,110HH,200M,300IH,400M,400R,SHOT,DISCUS,JAVELIN,HJ,LJ,TJ
2025,1,1,2,2,Travis Hunter,Jacksonville Jaguars,Colorado,73,165,,,,,,,,,,,,,,,,,,,
,2,1,20,20,Jahdae Barron ,Denver Broncos,Texas,71,175,,,,,,,,10.95,,23.14,,,43.44,,,,,17.08,
,3,1,30,30,Maxwell Hairston ,Buffalo Bills,Kentucky,72,170,,,,,,,,11.75,,23.06,,,43.29,,,,,19.58,
,4,2,15,47,Will Johnson ,Arizona Cardinals,Michigan,75,190,,,,,,,,,,24.01,,,44.32,,,,5.5,,
,5,2,21,53,Benjamin Morrison ,Tampa Bay Buccaneers,Notre Dame,72,175,,,,,,,,11.46,,23.97,,54.4,43.2,,,,,,
,6,2,29,61,Trey Amos ,Washington Commanders,Ole Miss,72,173,,,,,,,,11.21,,22.92,,,46.14,,,,,22.75,
,7,3,4,68,Darien Porter,Las Vegas Raiders,Iowa State,76,180,,,4.7,4.22,,31.3,,10.68,,21.69,,46.99,42.66,,,,,,
,8,3,9,73,Azareye'h Thomas,New York Jets,Florida State,74,181,,,,,,,,11.45,,23.87,,,42.73,,,,,21.92,
,9,3,12,76,Shavon Revel ,Dallas Cowboys,East Carolina,74,160,,,4.8,4.35,,32.1,,12.24,,,,58.04,,,,,5.67,20.75,
,10,3,16,80,Justin Walley ,Indianapolis Colts,Minnesota,71,185,,,,,,,,11.55,,24.25,,53.6,45.77,,,,,,
,11,3,20,84,Jacob Parrish ,Tampa Bay Buccaneers,Kansas State,71,165,,,,,,,,10.64,,21.78,,48.67,41.82,,,,,,
,12,3,21,85,Nohl Williams,Kansas City Chiefs,California,72,170,,,,,,,,,,25.86,,52.62,42.9,,,,6.33,16.33,32.83
,13,3,24,88,Caleb Ransaw,Jacksonville Jaguars,Tulane,72,180,76,,4.8,4.31,6.95,28,111,,,,,,,,,,,,
,14,3,33,97,Jaylin Smith,Houston Texans,USC,71,180,,,,,,,,,,,,,,,,,,,
,15,3,36,100,Upton Stout,San Francisco 49ers,Western Kentucky,69,170,,,,,,,,,16.31,,39.53,,,,,,,,
,16,4,29,131,Quincy Riley,New Orleans Saints,Louisville,72,172,,,,,,,,10.48,,21.37,,50.08,41.74,,,,,,
,17,5,7,145,Mac McWilliams,Philadelphia Eagles,UCF,70,175,,,,,,,,11.1,,,,,41.27,,,,,,
,18,5,13,150,Jason Marshall Jr. ,Miami Dolphins,Florida,73,191,,,,,,,,,,,,,,,,,,,
,19,5,33,169,Zah Frazier,Chicago Bears,UTSA,76,190,,,,,,,,,,23.07,,50.98,44.88,,,,5.67,,43
,20,5,34,170,Jordan Hancock,Buffalo Bills,Ohio State,73,170,,,,,,,,,,,,,,,,,,,
,21,5,38,174,Denzel Burke,Arizona Cardinals,Ohio State,72,189,,,4.7,4.5,,32.2,,11.71,,,,,46.9,,,,4.83,,
,22,6,1,177,Dorian Strong ,Buffalo Bills,Virginia Tech,72,160,,,,,,,,11.24,,22.97,,50.64,43.14,,,,,,
,23,6,2,178,Bilhal Kone ,Baltimore Ravens,Western Michigan,72,165,,,,,,,,11.63,,23.8,,,44.25,38.58,,,6.17,21.5,
,24,6,7,183,Marcus Harris ,Tennessee Titans,California,70,155,,,,,,,,10.78,,22.06,,57.53,42.87,,,,,,
,25,6,36,212,Robert Longerbeam ,Baltimore Ravens,Rutgers,72,160,,,4.5,4.27,,39.5,,10.81,,23.03,,59.38,41.89,,,,,19.33,
,26,7,13,229,Donte Kent ,Pittsburgh Steelers,Central Michigan,71,170,,,,,,,,10.72,,22.13,,53.4,42.01,,,,,,
,27,7,21,237,Micah Robinson ,Green Bay Packers,Tulane,71,160,72.5,8.6,,,,,,11.4,,23.42,,55.71,,,,,,20.5,
,28,7,30,246,Korie Black,New York Giants,Oklahoma State,72,170,,,4.66,4.26,,34.4,,,,,,50.37,44.1,,,,,20.33,38.58
,29,7,40,256,Trikweze Bridges,Los Angeles Chargers,Florida,75,175,,,,4.57,,30.1,,,,24.86,,,46.49,31.17,106.67,127.58,5.67,21.5,
,30,7,41,257,Kobee Minor,New England Patriots,Memphis,72,170,,,,,,,,11.51,,25.22,,,44.24,,,,,,
2025 AVERAGE,,,,,,,,72.27,173.03,74.25,8.60,4.68,4.35,6.95,32.51,111.00,11.23,16.31,23.32,39.53,53.03,43.64,34.88,106.67,127.58,5.69,20.14,38.14
2024,1,1,22,22,Quinyon Mitchell,Philadelphia Eagles,Toledo,,,,,,,,,,10.86,,22.39,,,44.48,,,,,,
,2,1,24,24,Terrion Arnold,Detroit Lions,Alabama,,,,,,,,,,12.34,,23.92,,,44.18,,,,,22.67,
,3,1,30,30,Nate Wiggins,Baltimore Ravens,Clemson,,,,,,,,,,,,,,,,,,,,,
,4,2,8,40,Cooper DeJean,Philadelphia Eagles,Iowa,,,,,,,,,,10.71,,21.92,,55.75,42.59,,,,,24.17,
,5,2,9,41,Kool-Aid McKinstry,New Orleans Saints,Alabama,,,,,4.67,4.12,,33.7,,,,,,,,,,,,,
,6,2,10,42,Kamari Lassiter,Houston Texans,Georgia,,,,,,,,,,12.01,,24.39,,,47.68,,,,5.67,18.25,
,7,2,11,43,Max Melton,Arizona Cardinals,Rutgers,71,165,74.5,9,4.58,4.4,,37.2,,10.91,,22.36,,52.83,44.04,,,,5.67,22.5,
,8,2,18,50,Mike Sainristil,Washington Commanders,Michigan,,,,,,,,,,,,,,,46.34,,,,5.17,,39.67
,9,2,26,58,Javon Bullard,Packers,Georgia,,,,,,,,,,,,22.22,,50.15,42.22,,,,,22.58,40.83
,10,2,29,61,Ennis Rakestraw,Detroit Lions,Missouri,,,,,,4.47,,35.8,,11.06,,22.52,,,40.94,,,,,,
,11,2,32,64,Renardo Green,San Francisco 49ers,FSU,,,,,4.61,4.3,,37.5,,11.35,,23.34,,,,,,,,21.17,
,12,3,6,70,Andru Phillips,New York Giants,Kentucky,71,174,74,8.25,,,,,,11,,23.07,,54.88,43.86,,,,,22.17,49.25
,13,3,26,90,Elijah Jones,Arizona Cardinals,Boston College,,,,,4.73,4.64,,37,,10.6,16.92,21.25,,53.26,41.76,,,,,,
,14,3,32,96,Jarrian Jones,Jacksonville Jaguars,FSU,,,,,,,,,,,,,,,43.44,,,,5.67,20.5,
,15,4,8,108,Khyree Jackson,Minnesota Vikings,Oregon,,,,,,,,,,,,,,,,,,,,,
,16,4,12,112,Decamerion Richardson,Las Vegas Raiders,Mississippi State,,,,,,,,,,10.75,,21.63,,,42.64,,,,6.33,,
,17,4,24,124,Malik Mustapha,49ers,Wake Forest,,,,,,4.2,,30.8,117,11.53,,,,1:17.13,43.13,,,,,21.83,
,18,4,30,130,TJ Tampa,Baltimore Ravens,Iowa State,,,,,4.8,4.35,,33,,,,,,,,,,,,,
,19,5,1,136,Nehemiah Pritchett,Seatle Seahawks,Auburn,,,,,4.6,4.48,,33.6,,,,,,,,,,,,,
,20,5,2,137,Tarheeb Still,Los Angeles Chargers,Maryland,72,168,72,8,4.72,4.29,,24,,,15.03,23.13,,52.75,43.58,,,,,18.5,
,21,5,5,140,Cam Hart,Los Angeles Chargers,Notre Dame,,,,,4.7,4.19,,37.5,,,,,,,,,,,,,
,22,5,10,145,Kris Abrams-Draine,Denver Broncos,Missouri,,,,,,,,,,,,,,,,,,,,20,
,23,5,11,146,Jarvis Brownlee,Tennessee Titans,Louisville,,,,,,4.34,,30.9,,,,,,,,,,,,,
,24,5,14,149,Josh Newton,Cincinnati Bengals,TCU,,,,,,,,,,10.51,,22.32,,,41.86,,,,,21.25,40.08
,25,5,18,153,Deantre Prince,Jacksonville Jaguars,Ole Miss,,,,,,,,,,10.92,20.55,,44.03,,43.15,,,,6,19.25,42.58
,26,5,22,157,Chau Smith-Wade,Carolina Panthers,Washington State,,,,,,4.34,,31.7,,,,,,,,,,,,,
,27,5,26,161,Dominique Hampton,Commanders,Washington  ,,,,,4.79,4.49,,32.4,,10.8,,21.73,,52.78,42.36,,,,,,
,28,5,39,174,Caelen Carson,Dallas Cowboys,Wake Forest,,,,,,,,,,12.04,,24.04,53.14,,,,,,,,
,29,5,41,176,Qwan'tez Stiggers,New York Jets,,,,,,,,,,,,,,,,,,,,,,
,30,6,4,180,Marcellas Dial,New England Patriots,South Carolina,,,,,,,,,,11.35,,23.22,,51.64,43.56,,,,5.33,22.42,
,31,6,16,192,DJ James,Seatle Seahawks,Auburn,,,,,,,,,,11.52,,,,,46.64,,,,,,
,32,6,19,195,Ryan Watts,Pittsburg Steelers,Texas,75,185,,,4.6,4.07,,37.6,,,,,,,,,,,,,
,33,6,25,201,Micah Abraham,Indianappolis Colts,Marshall,70,172,,,4.68,4.38,,33.5,,10.81,,21.68,,,43.04,,,,,19.75,
,34,6,35,211,Kamal Hadden,Kansas City Chiefs,Tennessee,,,,,,,,,,13.16,,,,,,,,,,16,
,35,6,43,219,Daequan Hardy,Buffalo Bills,Penn State,,,,,4.54,4.27,,37.6,,11.24,,24.24,,,43.24,,,,,,
,36,7,6,226,Jaden Davis,Arizona Cardinals,Miami (FL),,,,,4.7,4.26,,31.1,,,,23.58,,,,,,,,21.17,40.17
,37,7,7,227,Myles Harden,Cleveland Browns,South Dakota,69,170,71.5,9,,,,,,,,23.8,,,43.06,,,,,,
,38,7,9,229,MJ Devonshire,Las Vegas Raiders,Pittsburg,,,,,4.6,4.45,,31.5,,10.67,,21.73,,,42.82,,,,,,
,39,7,35,255,Kalen King,Green Bay Packers,Penn State,,,73,8.5,,3.95,,34.4,,12.27,,,45.44,,45.86,,,,,16.92,
2024 AVERAGE,,,,,,,,71.33,172.33,73.00,8.55,4.67,4.32,,33.73,117.00,11.29,17.50,22.78,47.54,53.01,43.60,,,,5.69,20.62,42.10
2023,1,1,5,5,Devon Witherspoon,Seatle Seahawks,Illinois,,,,,,,,,,11.29,,,,,41.37,,,,6.58,19.25,39.75
,2,1,16,16,Emmanuel Forbes,Washington Commanders,Mississippi State,73,165,,,4.73,,,38.9,,,,,,,,,,,,,
,3,1,17,17,Christian Gonzalez,New England Patriots,Oregon,,,,,4.74,4.58,,33.4,,10.72,,21.71,,,41.86,,,,,22.33,42.67
,4,1,24,24,Deonte Banks,New York Giants,Maryland,,,,,,,,,,10.96,,22.53,,,44.38,,,,5.5,22.67,
,5,2,1,32,Joey Porter Jr,Pittsburg Steelers,Penn State,74,187,,,4.69,4.25,,31.2,,11.11,,21.97,,,43.73,,,,,,
,6,2,13,44,Julius Brents,Indianappolis Colts,Kansas State,74,179,,,4.82,4.27,,39.3,,,,,,,,,,,,,
,7,2,20,51,Cam Smith,Miami Dolphins,South Carolina,72,168,,,4.55,4.07,,33.9,,11.68,,,,,44.04,,,,,20.75,43.33
,8,2,25,56,Tyrique Stevenson,Chicago Bears,Miami (FL),,,,,4.49,4.31,,39.6,,10.88,,,,,,,,,,,
,9,2,29,60,DJ Turner,Cincinnati Bengals,Michigan,,,,,4.62,4.12,,39.6,,,,,,,,,,,,,
,10,3,9,72,Garrett Williams,Arizona Cardinals,Syracuse,71,171,,,,4.26,,33.6,,11.34,,22.98,,,44.32,,,,,,
,11,3,20,83,Riley Moss,Denver Broncos,Iowa,,,,,,,,,,,13.91,23.26,,,41.9,,,,,16.58,
,12,3,39,102,Mekhi Blackmon,Minnesota Vikings,USC,,,,,,,,,,,,,,,,,,,,,
,13,4,2,104,Jakorian Bennett,Las Vegas Raiders,Maryland,,,,,,,,,,10.93,,22.75,,,,,,,,17.58,
,14,4,3,105,Kelee Ringo,Philadelphia Eagles,Georgia,74,202,73.5,,,,,,,10.43,,21.18,,,40.85,,,,,,
,15,4,11,113,Clark Phillips,Atlanta Falcons,Utah,70,178,,,4.52,4.06,,35.7,,11.3,,,,,43.72,,,,,,
,16,5,3,138,Darius Rush,Indianappolis Colts,South Carolina,74,173,,,4.68,4.38,,31.6,,,,23.43,,,44.4,,,,6.33,22.17,47.08
,17,5,7,142,Cameron Mitchell,Cleveland Browns,Northwestern,,,,,,,,,,,,,,,,,,,,,
,18,5,20,155,Darrell Luter,San Francisco 49ers,South Alabama,,,,,,,,,,,,23.66,,52.63,,,,,,20.83,43.25
,19,5,22,157,Kyu Blu Kelly,Baltimore Ravens,Stanford,72,160,,,4.7,4.21,,34.5,,10.66,,21.58,,54.07,41.36,,,,,24.17,
,20,5,25,160,Antonio Johnson,Jacksonville Jaguars,Texas A&M,,,78,10,,,,32.1,,,,,,,,,,,,,
,21,5,30,165,Terell Smith,Chicago Bears,Minnesota,,,,,,,,,,10.39,,20.84,,52.36,41.56,,,,,,
,22,6,1,178,Eric Scott,Dallas Cowboys,Southern Miss,,,,,,,,,,,,23.15,,,43.05,,,,6.67,21.67,47.5
,23,6,3,180,Kei'Trel Clark,Arizona Cardinals,Louisville,,,,,,,,,,10.95,,,,,41.86,,,,,,
,24,6,4,181,Josh Hayes,Tampa Bay Buccaneers,Kansas State,,,,,,,,,,11.35,,22.96,,55.48,41.02,,,,,,
,25,6,5,182,Tre Tomlinson,Los Angeles Rams,TCU,69,171,,,4.59,4.16,,39.3,,10.76,,,,,42.44,,,,,,
,26,6,21,198,Jerrick Reed,Seatle Seahawks,New Mexico,,,,,,,,,,11.19,,24.02,,,42.86,,,,,,
,27,6,25,202,Christian Braswell,Jacksonville Jaguars,Rutgers,,,,,4.55,4.26,,39,,11.35,,23.03,,,,,,,,,
,28,6,27,204,Jarrick Bernard-Converse,New York Jets,LSU,,,,,,,,,,,,,,54.78,,,,,5.5,,
,29,6,31,208,Erick Hallett,Jacksonville Jaguars,Pittsburgh,,,,,4.59,3.84,,37,,11.52,,23.39,,,42.26,,,,,20.33,
,30,6,32,209,Tre Hawkins,New York Giants,Old Dominion,,,,,,,,,,,,22.26,,,42.41,,,,,,
,31,6,37,214,Ameer Speed,New England Patriots,Michigan State,,,,,4.63,4.55,,32.8,,10.68,,21.69,,,41.02,,,,,19.17,42.5
,32,7,4,221,Jaylon Jones,Indianappolis Colts,Texas A&M,,,,,4.53,4.25,,38.5,,,,22.17,,,42.89,,,,,,
,33,7,15,232,Carrington Valentine,Green Bay Packers,Kentucky,,,,,,,,,,11.72,,,,,44.08,,,,,,
,34,7,24,241,Cory Trice,Pittsburg Steelers,Purdue,,,,,,,,,,,,,,,,,,,,,
,35,7,28,245,Isaiah Bolden,New England Patriots,Jackson State,,,,,4.6,4.61,,35,,10.72,,21.85,,,43.29,,,,,18.58,
,36,7,29,246,DJ Ivey,Cincinnati Bengals,Miami (FL),,,,,,4.2,,35.8,,,,,,51.78,,,,,,15.83,43.08
,37,7,33,250,Nic Jones,Kansas City Chiefs,Ball State,,,,,,,,,,12.74,,22.91,,1:2.61,,,,,,,
,38,7,35,252,Alex Austin,Buffalo Bills,Oregon State,,,,,,,,29.1,,12.29,,,,,,,,,,,
2023 AVERAGE,,,,,,,,72.30,175.40,75.75,10.00,4.63,4.26,,35.50,,11.17,13.91,22.54,,53.52,42.64,,,,6.12,20.14,43.65
2022,1,1,3,3,Derek Stingley,Houston Texans,LSU,73,193,,,4.3,4.28,,42,,10.89,,22.92,,,44.27,45.83,,,,,
,2,1,4,4,Sauce Gardner,New York Jets,Cincinnati,74,163,,,4.74,4.37,,33,,11.5,,,,,43.62,,,,,,
,3,1,21,21,Trent McDuffie,Kansas City Chiefs,Washington  ,,,,,4.51,4.07,,38.1,,10.82,,23.66,,54.89,41.77,,,,,23.67,
,4,1,23,23,Kaiir Elam,Buffalo Bills,Florida,,,,,4.55,4.46,,34.5,,10.89,,22.55,,,46.3,41.25,,,,,
,5,2,3,35,Roger McCreary,Tennessee Titans,Auburn,73,187,,,4.4,4.22,,41.6,,11.01,,22.02,,,42.9,,,,,,
,6,2,7,39,Kyler Gordon,Chicago Bears,Washington,,,,,,,,,,10.88,,22.17,,,44.08,,,,,17.58,
,7,2,10,42,Andrew Booth,Minnesota Vikings,Clemson,,,,,,,,,,11.22,,,,,43.26,,,,6,,
,8,2,17,49,Alontae Taylor,New Orleans Saints,Tennessee,,,,,,,,,,,,,,,,,,,,,
,9,2,28,60,Cam Taylor-Britt,Cincinnati Bengals,Nebraska,,,,,4.64,4.14,,38.8,,,,,,,,,,,,,
,10,3,4,68,Martin Emerson,Cleveland Browns,Mississippi State,71,201,,,4.6,4.28,,34.5,,,,,,,,,,,,,
,11,3,17,81,Cordale Flott,New York Giants,LSU,,,,,,,,,,,,,,,,,,,,,
,12,3,21,85,Marcus Jones,New England Patriots,Houston,,,,,,,,,,,,,,,,,,,,,
,13,4,4,109,Coby Bryant,Seatle Seahawks,Cincinnati,,,,,4.72,4.13,,34.9,,11.01,,22.35,,,44.23,,,144.92,,22.33,
,14,4,10,115,Damarri Mathis,Denver Broncos,Pittsburg,,,,,,,,,,,,,,52.93,43.54,,,,,17.33,
,15,4,13,118,Akayleb Evans,Minnesota Vikings,Missouri,,,,,4.69,4.36,,40.6,,,,,,,,,,,,,
,16,4,14,119,Jalyn Armour-Davis,Baltimore Ravens,Alabama,,,,,,,,,,11.42,,,,,44.04,,,,5.5,21.58,
,17,4,16,121,Jack Jones,New England Patriots,Arizona State,,,,,,,,,,10.72,,22.77,,53.14,43.29,,,,,23.33,46.75
,18,4,30,135,Joshua Williams,Kansas City Chiefs,Fayetteville State,70,157,,,4.59,4.26,,34.6,,,,,,,,,,,,,
,19,4,36,141,Damarion Williams,Baltimore Ravens,Houston,,,,,,,,,,,,,,,,,,,,,
,20,4,37,142,Cobie Durant,Los Angeles Rams,South Carolina State,,,,,,,,,,,,,,58.58,,,,,5.83,,
,21,5,10,153,Tariq Woolen,Seatle Seahawks,UTSA,,,,,,,,,,10.93,,21.46,,,41.55,,,,,,
,22,5,14,157,Zyon McCollum,Tampa Bay Buccaneers,Sam Houston State,,,,,,,,,,12.35,,,,,43.83,,,,,22.58,43.08
,23,5,24,167,DaRon Bland,Dallas Cowboys,Fresno State,,,,,,,,,,,14.88,24.3,,,43.74,,,,6.33,23.58,
,24,5,29,172,Samuel Womack,San Francisco 49ers,Toledo,,,,,,,,,,11.87,,,46.11,57.17,44.56,,,,,,
,25,6,6,185,Christian Benford,Buffalo Bills,Villanova,,,,,4.81,4.18,,35.6,,,20.15,,49.19,,,,,,,,
,26,6,18,197,Gregory Junior,Jacksonville Jaguars,Ouachita Baptist,,,,,,,,,,,,,,,,,,,,,
,27,6,33,212,Derion Kendrick,Los Angeles Rams,Georgia,73,181,,,4.87,4.47,,32.7,,,,,,,,,,,,,
,28,6,35,214,Ja'Sir Taylor,Los Angeles Chargers,Wake Forest,,,,,,,,,,11.03,,23.1,,,43.91,,92.58,,6.33,23.67,
,29,6,42,221,Tariq Castro-Fields,San Francisco 49ers,Penn State,,,,,4.71,4.19,,33.5,,,,22.95,,52.17,,,,,,20,
,30,7,1,222,Montaric Brown,Jacksonville Jaguars,Arkansas,,,,,,,,,,,,,,,,,,,,,
,31,7,11,232,Faion Hicks,Denver Broncos,Wisconsin,70,176,,,4.57,4.46,,36.9,,,,,,,,,,,,,
,32,7,15,236,Deane Leonard,Los Angeles Chargers,Ole Miss,,,,,,,,,,10.88,,22.1,,,44.42,,,,,,
,33,7,16,237,Chase Lucas,Detroit Lions,Arizona State,72,170,,,4.65,4.3,,37.1,,,,22.78,,49.77,42.54,,,,,20.67,
,34,7,19,240,Christian Holmes,Washington Commanders,Oklahoma State,,,,,4.53,4.67,,33.9,,11.78,,23.82,,49.8,,,,,,,
,35,7,21,242,Kalon Barnes,Carolina Panthers,Baylor,71,172,,,4.67,,,31,,10.22,,20.54,,,41.41,,,,,,
,36,7,22,243,Jaylen Watson,Kansas City Chiefs,Washington State,,,,,,,,,,,,,,,44.21,,,,,20.17,
,37,7,23,244,Christian Matthew,Arizona Cardinals,Valdosta State,75,169,,,4.6,4.34,,38,,11.62,,23.86,39.56,,44.14,,,,5.33,,
,38,7,33,254,Elijah Hicks,Chicago Bears,California,,,,,4.65,4.34,,35.4,,,,,,,,,,,,,
2022 AVERAGE,,,,,,,,72.20,176.90,,,4.62,4.31,,36.14,,11.17,17.52,22.71,44.95,53.56,43.60,43.54,92.58,144.92,5.89,21.37,44.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020 - 2024 AVERAGES,,,,,,,,72.03,174.42,74.33,9.05,4.65,4.31,6.95,34.47,114.00,11.21,16.31,22.84,44.01,53.28,43.37,39.21,99.63,136.25,5.85,20.57,42.20