NFL DRAFT 2020-2025 LINEBACKER HIGH SCHOOL COMBINE DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YEAR,PICK,ROUND,PICK #,PLAYER,NAME,TEAM,SCHOOL,HT,WT,WING,HAND,40,SHUT,3 CONE,VERT,BROAD,100M,110HH,200M,300IH,400M,400R,SHOT,DISCUS,JAVELIN,HJ,LJ,TJ,,
2025,1,1,3,3,Abdul Carter,New York Giants,Penn State,76,235,,,,,,,,,,,,,,,,,,,,,
,2,1,15,15,Jalon Walker,Atlanta Falcons,Georgia,74,220,,,,,,,,11.94,,,,,,,89,,,19.75,37.5,,
,3,1,31,31,Jihaad Campbell,Philadelphia Eagles,Alabama,75,215,,,,,,,,,,,,,,,,,,,,,
,4,2,1,33,Carson Schwesinger,Cleveland Browns,UCLA,74,210,,,,,,,,,,,,,,,,,,,,,
,5,2,2,34,Jay Higgins ,Houston Texans,Iowa,74,215,,,,,,,,,,,,,,40.42,77.75,,,,,,
,6,2,17,49,Demetrius Knight Jr. ,Cincinnati Bengals,South Carolina,74,210,,,,,,,,11.0,,23.16,,,45.1,,,,,21.25,,,
,7,2,27,59,Michael Green,Baltimore Ravens,Marshall,76,215,,,,,,,,12.07,,,,,,39.08,83.58,,5.67,18.58,37.67,,
,8,3,11,75,Nick Martin ,San Francisco 49ers,Oklahoma State,72,195,,,,,,,,,,,,,,,,,,,41.67,,
,9,3,26,90,Josaiah Stewart,Los Angeles Rams,Michigan,74,235,,,,,,,,,,,,,,,,,,,,,
,10,4,5,107,Jack Kiser,Jacksonville Jaguars,Notre Dame,73,205,,,,,,,,11.1,,22.44,,,,54.25,166.83,,,,,,
,11,4,10,112,Danny Stutsman ,New Orleans Saints,Oklahoma,74,215,,,,,,,,,,24.54,,56.14,48.71,,,,,20,,,
,12,4,13,115,Cody Simon ,Arizona Cardinals,Ohio State,73,214,,,4.53,4.19,,38.2,,,,,,,,,,,,,,,
,13,4,17,119,Barrett Carter ,Cincinnati Bengals,Clemson,73,220,,,,,,,,,,,,,,,,,,,,,
,14,4,27,129,Teddye Buchanan,Baltimore Ravens,California,74,215,,,,,,,,11.9,,26.93,,,45.48,,,,5,21,41.25,,
,15,4,30,132,Ruben Hyppolite II,Chicago Bears,Maryland,71,223,,,4.5,4.47,,31.5,,,,,,,,,,,,,,,
,16,4,32,134,Que Robinson ,Denver Broncos,Alabama,77,215,,9.75,4.6,4.4,,37.8,,11.6,,24.17,,56.9,,,,,,17.92,,,
,17,5,16,152,Shemar James,Dallas Cowboys,Florida,74,212,,,,,,,,11.67,,24.09,,,44.6,,,,,17.33,,,
,18,5,20,156,Jeffrey Bassa,Kansas City Chiefs,Oregon,75,200,,,4.9,4.5,,34.6,,11.24,,23.24,,,,,,96.75,,20.58,,,
,19,5,23,159,Collin Oliver,Green Bay Packers,Oklahoma State,74,220,,,,,,,,,,,,,,44.92,110.67,,6.17,21.25,,,
,20,5,25,161,Smael Mondon Jr. ,Philadelphia Eagles,Georgia,75,220,,,,,,,,11.46,,23.33,,,42.87,,,,,18.25,46.08,,
,21,5,26,162,Francisco Mauigoa,New York Jets,Miami,74,215,,,,,,,,11.42,,23.47,,,,,,,,,,,
,22,5,36,172,Chris Paul Jr. ,Los Angeles Rams,Ole Miss,73,235,73,9.5,5.1,4.66,,30.5,,,,,,,,,,,,,,,
,23,6,18,194,Jalen McLeod,Jacksonville Jaguars,Auburn,74,216,,,,4.19,,31.5,,,,,,,,,,,,,,,
,24,6,25,201,Kobe King ,Minnesota Vikings,Penn State,73,236,77,9,,4.57,,,,,,24.77,,,46.16,42.67,101.83,,,,,,
,25,6,29,205,Kain Medrano ,Washington Commanders,UCLA,74,195,,,,,,,,11.3,,,,,42.4,58.75,199.75,176.5,,20.83,,,
,26,7,6,222,Cody Lindenberg,Las Vegas Raiders,Minnesota,74,205,,,4.76,4.22,,30.2,,,,,,,,,,,,,,,
,27,7,10,226,Carson Bruener,Pittsburgh Steelers,Washington,73,201,,,,,,,,,,,,,,,,,,,,,
2025 AVERAGE,,,,,,,,73.96,215.26,75.00,9.42,4.75,4.40,,33.47,,11.52,,24.01,,56.52,45.05,46.68,118.49,136.63,5.61,19.70,40.83,,
2024,1,2,13,45,Edgerrin Cooper,Packers,Texas A&M,75,229,82,10,4.99,4.49,7.75,26,115,,,,,,,,,,,,,,
,2,3,5,69,Junior Colson,Chargers,Michigan,74,199,76,,4.86,4.53,7.83,31.5,109,,,,,,,,,,5.5,19.42,,,
,3,3,8,72,Trevin Wallace,Panthers,Kentucky,,,,,,,,,,,,,,,,,,,,,,,
,4,3,23,87,Marist Liufau,Cowboys,Notre Dame,,,,,4.77,4.31,,34,,,,,,,43.45,,,,,,,,
,5,3,27,91,Ty'Ron Hopper,Packers,Missouri,,,,,,,,,,11.1,15.64,22.34,,,41.84,40.67,,,6.17,23.33,,,
,6,3,29,93,Adisa Isaac,Ravens,Penn State,,,,,,,,,,11.9,20.5,23.35,50.47,,43.56,,,,,,40.25,,
,7,3,34,98,Payton Wilson,Steelers,North Carolina State,,,,,,4.68,,28.9,,,,,,,,,,,,,,,
,8,4,6,106,Cedric Gray,Titans,North Carolina,77,226,,,4.82,4.31,,27.3,,,,,,,,,,,,,,,
,9,4,18,118,Tyrice Knight,Seahawks,Texas-El Paso,,,,,4.61,4.4,,31.8,,,,,,,,,,,,,,,
,10,5,4,139,Jordan Magee,Commanders,Temple,,,,,5.15,4.72,,24.5,,,,,,,,,,,,,,,
,11,5,8,143,JD Bertrand,Falcons,Notre Dame,,,,,,,,,,,,,,,,,,,,,,,
,12,5,13,148,Tommy Eichenberg,Raiders,Ohio State,,,,,,,,,,,,,,,,,,,,,,,
,13,5,20,155,Jeremiah Trotter Jr,Eagles,Clemson,,,,,,,,,,,,,,,,56,124,,,,,,
,14,5,25,160,Edefuan Ulofoshio,Bills,Washington,,,,,4.81,4.56,,30.1,,,,,,,,,,,,,,,
,15,5,40,175,Jaylan Ford,Saints,Texas,,,,,,,,,,,,,,,,,,,,,,,
,16,6,7,183,Darius Muasau,Giants,UCLA,74,205,,,,4.47,,32.1,,,18.73,,,,,,,,,,,,
,17,6,12,188,Jamal Hill,Texans,Oregon,,,,,,,,,,,,,,,,,,,,,,,
,18,6,30,206,Nathaniel Watson,Browns,Mississippi State,,,,,,,,,,10.96,,22.73,,56.05,41.29,,,,,,,,
,19,7,16,236,Myles Cole,Jaguars,Texas Tech,,,,,,,,,,11.3,,23.33,,,,,,,,,,,
,20,7,20,240,Michael Barrett,Panthers,Michigan,,,,,,,,,,,,,,,,,,,,,,,
,21,7,31,251,Tatum Bethune,49ers,Florida State,72,208,,,4.67,4.56,,34.4,,,,,,,42.81,45.17,142.67,,,,,,
,22,7,32,252,Jaylen Harrell,Titans,Michigan,,,,,5.11,4.55,,29.6,,,,,,,,,,,,,,,
2024 AVERAGE,,,,,,,,74.40,213.40,79.00,10.00,4.87,4.51,7.79,30.02,112.00,11.31,18.29,22.94,50.47,56.05,42.59,47.28,133.34,,5.84,21.38,40.25,,
2023,1,1,3,3,Will Anderson,Houston Texans,Alabama,,,,,,,,,,,,,,,,,,,,,,,
,2,1,7,7,Tyree Wilson,Las Vegas Raiders,Texas Tech,,,,,,,,,,,,,,,43.5,36.08,,,,,,,
,3,1,18,18,Jack Campbell,Detroit Lions,Iowa,,,,,,,,,,11.9,,,,,46.73,,,,,18,,,
,4,1,30,30,Nolan Smith,Philadelphia Eagles,Georgia,75,234,,,4.55,4.08,,42.2,,10.87,,22.92,51.74,,47.54,34.92,,,,,,,
,5,3,4,67,Drew Sanders,Denver Broncos,Arkansas,,,,,4.69,4.44,,33.2,,10.91,,22.41,,,43.44,,,,,,,,
,6,3,17,80,D.J. Johnson,Carolina Panthers,Oregon,,,,,,,,,,,,,,,,,,,,,,,
,7,3,22,85,Daiyan Henley,Los Angeles Chargers,Washington State,73,183,,,4.94,4.41,,30.2,,,,,,56.08,,,,,5.42,,,,
,8,3,23,86,Trenton Simpson,Baltimore Ravens,Clemson,,,,,4.67,4.15,,34.5,,11.15,,,,,44.84,,,,,,,,
,9,3,27,90,DeMarvion Overshown,Dallas Cowboys,Texas,,,,,,,,,,,,,,,46.11,35.83,,,6,20.83,,,
,10,3,28,91,Dorian Williams,Buffalo Bills,Tulane,,,,,,,,,,,,,,,,,,,,,,,
,11,4,19,121,Ventrell Miller,Jacksonville Jaguars,Florida,,,,,4.82,4.96,,32,,,,,,,,,,,,,,,
,12,4,30,132,Nick Herbig,Pittsburgh Steelers,Wisconsin,74,202,,,4.9,4.25,,29.6,,,,,,,,,,,,,,,
,13,5,1,136,Yasir Abdullah,Jacksonville Jaguars,Louisville,73,188,,,4.54,4.31,,34.2,,10.75,,21.97,,,41.86,,,,,21.25,,,
,14,5,13,148,Noah Sewell,Chicago Bears,Oregon,74,245,75,10,4.75,4.13,,35.6,,,,,,,,48.58,,,,,,,
,15,5,18,153,SirVocea Dennis,Tampa Bay Buccaneers,Pittsburgh,,,,,4.83,4.66,,33.6,,,,,,,,,,,,,,,
,16,5,26,161,Nick Hampton,Los Angeles Rams,Appalachian State,,,,,,,,,,,,,,,43.2,,,,6,21.33,44.83,,
,17,5,32,167,Henry To'oto'o,Houston Texans,Alabama,,,,,,,,,,,,,,,,,,,,,,,
,18,5,33,168,Owen Pappoe,Arizona Cardinals,Auburn,73,209,,,4.54,4.01,,38.9,,,,,,,,,,,,,,,
,19,5,38,173,Robert Beal,San Francisco 49ers,Georgia,,,,,,,,,,,,,,,,50.75,146.25,,,,,,
,20,6,7,184,Zaire Barnes,New York Jets,Western Michigan,,,,,4.8,4.4,,30,,,,,,,,,,,,,,,
,21,6,26,203,Amari Burney,Las Vegas Raiders,Florida,74,215,,,4.48,4.38,,34.4,,11.67,,24.86,,,45.19,,,,,,,,
,22,6,39,216,Dee Winters,San Francisco 49ers,TCU,,,,,,,,,,,,22.59,,,44.05,,,,,,,,
,23,7,16,233,Andre Jones,Washington Commanders,Louisiana,,,,,,,,,,,,,,,,,,,,,,,
,24,7,22,255,Jalen Graham,San Francisco 49ers,Purdue,74,207,,,,4.25,,,,,16.05,22.39,,,44.42,,,,,,,,
2023 AVERAGE,,,,,,,,73.75,210.38,75.00,10.00,4.71,4.34,,34.03,,11.21,16.05,22.86,51.74,56.08,44.63,41.23,146.25,,5.81,20.35,44.83,,
2022,1,1,22,22,Quay Walker,Packers,Georgia,,,,,,,,,,,,,,,,,,,,,,,
,2,1,27,27,Devin Lloyd,Jaguars,Utah,,,,,,,,,,,,,,,,,,,,,,,
,3,2,26,58,Troy Andersen,Falcons,Montana State,,,,,,,,,,10.88,15.06,22.11,40.37,,43.68,47.33,,,,20.92,,Original,Decimal Feet
,4,3,2,66,Brian Asamoah,Vikings,Oklahoma,,,,,4.91,4.5,,33.4,,,,,,,44.41,41.17,,,,18.25,,"47'4""",47.33
,5,3,6,70,Chad Muma,Jaguars,Wyoming,74,196,,,4.7,4.33,,34.9,,11.73,,23.65,,52.87,44.53,,,,,19.33,,"20'11""",20.92
,6,3,11,75,Christian Harris,Texans,Alabama,73,237,,,4.76,4.41,,35.1,,11.93,,24.64,,,,,,,,,,"41'2""",41.17
,7,3,18,82,DeAngelo Malone,Falcons,Western Kentucky,,,,,,,,,,,,,,,,,,,,,,"18'3""",18.25
,8,3,19,83,Nakobe Dean,Eagles,Georgia,,,,,4.77,4.01,,40,,,,,,,,42.42,94.17,,,18.5,,"19'4""",19.33
,9,3,25,89,Terrel Bernard,Bills,Baylor,,,,,4.85,4.4,,34.9,,,,,,,,44.17,,,,,,"42'5""",42.42
,10,3,38,102,Channing Tindall,Dolphins,Georgia,74,213,,,4.86,4.19,,39.6,,,,,,,,56.67,166.25,,,,,"94'2""",94.17
,11,3,39,103,Leo Chenal,Chiefs,Wisconsin,,,,,,,,,,11.68,,,,,44.98,46.25,,,,21.58,,"18'6""",18.5
,12,4,15,120,Brandon Smith,Panthers,Penn State,,,,,4.7,4.39,,32.7,,,,,,,,,,,,,,"44'2""",44.17
,13,5,3,146,Micah McFadden,Giants,Indiana,73,215,,,5,4.63,,28,,,,,,,,,,,,,,"56'8""",56.67
,14,5,18,161,D'Marco Jackson,Saints,Appalachian State,,,,,,,,,,,,23.98,,,45.94,43.25,157.58,,,19.58,39,"166'3""",166.25
,15,5,33,176,Damone Clark,Cowboys,Louisiana State,75,216,,,4.98,4.51,,31.6,,,,,,,48.47,,,136.25,,,,"46'3""",46.25
,16,6,2,181,Kyron Johnson,Eagles,Kansas,73,190,,,4.41,4.23,,36.7,,11.03,,22.33,,51.79,42.92,,,,,21.58,,"21'7""",21.58
,17,6,3,182,Darrian Beavers,Giants,Cincinnati,,,,,,,,,,,,,,,,,,,6,,,"43'3""",43.25
,18,6,9,188,Malcolm Rodriguez,Lions,Oklahoma State,,,,,4.87,4.41,,33.7,,12.89,,,,,46.08,,,,,,,"157'7""",157.58
,19,6,10,189,Amare Barno,Panthers,Virginia Tech,,,,,,,,,,,,,,,,,,,,,,"19'7""",19.58
,20,6,14,193,Devin Harper,Cowboys,Oklahoma State,,,,,4.64,4.64,,30.9,,11.18,,22.92,,,44.16,,,,,19.58,,"39'0""",39
,21,6,38,217,James Houston,Lions,Jackson State,,,,,4.81,4.53,,32.4,,,,,,,,,,,,15.08,,"136'3""",136.25
,22,6,40,219,Chance Campbell,Titans,Mississippi,,,,,,,,,,,,,,,,,,,,,,"6'0""",6
,23,7,3,224,Cameron Goode,Dolphins,California,75,195,,,4.72,4.22,,32.7,,,15.8,23.4,,,,,,,,19.5,,"15'1""",15.08
,24,7,4,225,Mark Robinson,Steelers,Mississippi,,,,,,,,,,,,,,,,,,,,,,"19'6""",19.5
,25,7,10,231,Baylon Spector,Bills,Clemson,,,,,4.84,4.27,,36.5,,11.86,,,43.04,58.86,45.5,,,,,18,,"18'0""",18
,26,7,35,256,Jesse Luketa,Cardinals,Penn State,,,,,5.04,4.51,,34,,,,,,,,,,,,,,,
2022 AVERAGE,,,,,,,,73.86,208.86,,,4.81,4.39,,34.19,,11.65,15.43,23.29,41.71,54.51,45.07,45.89,139.33,136.25,6.00,19.26,39.00,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022 - 2024 AVERAGES,,,,,,,,73.99,211.97,76.33,9.81,4.78,4.41,7.79,32.93,112.00,11.42,16.59,23.27,47.97,55.79,44.33,45.27,134.35,136.44,5.81,20.17,41.23,,