NFL DRAFT 2020-2024 RUNNING BACK SENIOR YEAR OF HIGH SCHOOL STATISTICS,,,,,,,,,,,,,,,,,,,,,,
,PICK,ROUND,PICK #,PLAYER,NAME,TEAM,SCHOOL,GP,Car,Yds,Avg,Y/G,Lng,100+,TD,GP,Rec,Yds,Avg,Y/G,Lng,TD
2025,1,1,6,6,Ashton Jeanty,Las Vegas Raiders,Boise State,12,229,1835,8,152.9,80,11,31,12,41,810,19.8,67.5,63,10
,2,1,22,22,Omarion Hampton ,Los Angeles Chargers,North Carolina,12,161,1948,12,162.3,68,11,39,12,11,272,24.7,22.7,66,3
,3,2,4,36,Quinshon Judkins,Cleveland Browns,Ohio State,11,205,1534,7.5,139.5,73,10,26,11,10,132,13.2,12,70,1
,4,2,6,38,TreVeyon Henderson ,New England Patriots,Ohio State,15,198,2424,12.2,161.6,95,13,45,15,18,283,15.7,18.9,50,5
,5,2,28,60,RJ Harvey ,Denver Broncos,UCF,,,1376,,,,,25,,,,,,,
,6,3,19,83,Kaleb Johnson ,Pittsburgh Steelers,Iowa,,155,1004,6.48,,,,15,,,,,,,
,7,4,2,104,Bhayshul Tuten ,Jacksonville Jaguars,Virginia Tech,7,129,1282,9.9,183.1,72,7,19,7,11,184,16.7,26.3,65,4
,8,4,3,105,Cam Skattebo ,New York Giants,Arizona State,12,160,1650,10.3,137.5,90,9,18,12,9,189,21,15.8,51,3
,9,4,12,114,Trevor Etienne,Carolina Panthers,Georgia,7,109,1344,12.3,192,98,6,20,7,4,29,7.3,4.1,24,0
,10,4,14,116,Woody  Marks,Houston Texans,USC,9,162,1519,9.4,168.8,,8,23,9,4,43,10.8,4.8,,
,11,4,15,117,Jarquez  Hunter,Los Angeles Rams,Auburn,8,226,1687,7.5,210.9,25,8,22,8,17,234,13.8,29.3,0,2
,12,4,24,126,Dylan Sampson,Cleveland Browns,Tennessee,,148,1374,9.28,,,,22,,,299,,,,
,13,5,9,147,Jordan James,San Francisco 49ers,Oregon,14,187,1653,8.8,118.1,75,8,24,14,10,148,14.8,10.6,46,1
,14,5,12,149,Jaydon Blue,Dallas Cowboys,Texas,11,227,2155,9.5,195.9,73,10,30,11,14,88,6.3,8,12,0
,15,5,14,151,DJ  Giddens,Indianapolis Colts,Kansas State,,,1255,,,,,30,,,,,,,
,16,6,3,179,Ollie Gordon II,Miami Dolphins,Oklahoma State,13,257,2546,9.9,195.8,92,13,35,13,6,149,24.8,11.5,64,2
,17,6,8,184,Devin Neal,New Orleans Saints,Kansas,,,,,,,,20,,,,,,,
,18,6,12,188,Kalel  Mullings,Tennessee Titans,Michigan,,,,,,,,,,,,,,,
,19,6,17,193,Tahj Brooks ,Cincinnati Bengals,Texas Tech,11,160,1246,7.8,113.3,60,7,19,11,11,55,5,5,41,1
,20,7,7,223,Damien Martinez,Seattle Seahawks,Miami,11,185,1534,8.3,139.5,71,7,23,11,8,106,13.3,9.6,75,0
,21,7,12,228,Brashard Smith ,Kansas City Chiefs,SMU,,,,,,,,,,,,,,,
,22,7,17,233,Kyle Monangai,Chicago Bears,Rutgers,,,,,,,,11,,,400,,,,5
,23,7,20,236,LeQuint  Allen ,Jacksonville Jaguars,Syracuse,12,228,1913,8.4,159.4,42,9,22,12,26,341,13.1,28.4,31,4
,24,7,23,239,Phil Mafah,Dallas Cowboys,Clemson,10,130,1130,8.7,113,73,5,18,10,9,169,18.8,16.8,48,2
,25,7,29,245,Jacory Croskey - Merritt,Washington Commanders,Arizona,,210,1363,6.5,,,,8,,23,382,16.6,,,2
, 2025 AVERAGE,,,,,,,10.94,182.42,1608.19,9.09,158.98,72.47,8.88,23.70,10.94,13.65,227,15.04,18.21,47.07,2.65
2024,1,2,14,46,Jonathon Brooks,Panthers,Texas,15,295,3530,12,235.3,,15,62,15,15,284,18.9,18.9,,3
,2,3,2,66,Trey Benson,Cardinals,Florida State,13,110,1783,16.2,137.2,94,10,26,13,6,105,17.5,8.1,42,2
,3,3,19,83,Blake Corum,Rams,Michigan,12,172,1438,8.36,119.8,,,22,,,,,,,
,4,3,24,88,MarShawn Lloyd,Packers,USC,,,,,,,,,,,,,,,
,5,4,20,120,Jaylen Wright,Dolphins,Tennessee,10,89,901,10.1,90.1,89,4,5,10,6,62,10.3,6.2,12,0
,6,4,25,125,Bucky Irving,Buccaneers,Oregon,4,73,818,11.2,204.5,85,3,10,4,8,128,16,32,28,2
,7,4,27,127,Will Shipley,Eagles,Clemson,16,188,2040,10.9,127.5,73,10,30,16,34,582,17.1,36.4,12,8
,8,4,28,128,Ray Davis,Bills,Kentucky,,,,,,,,,,,,,,,
,9,4,29,129,Isaac Guerendo,49ers,Louisville,12,12,113,9.4,9.4,57,0,2,12,54,1258,23.3,104.8,85,16
,10,4,34,134,Braelon Allen,Jets,Wisconsin,7,71,1047,14.7,149.6,,,21,,4,135,33.8,45,,2
,11,5,12,147,Audric Estime,Broncos,Notre Dame,8,190,1857,9.8,232.1,80,8,22,8,14,185,13.2,23.1,45,2
,12,5,30,165,Rasheen Ali,Ravens,Marshall,,,,,,,,,,,,,,,
,13,5,31,166,Tyrone Tracy,Giants,Purdue,12,123,1412,11.5,117.7,85,7,13,12,54,1132,21,94.3,64,16
,14,5,32,167,Keilan Robinson,Jaguars,Texas,,,,,,,,,,,,,,,
,15,5,38,173,Isaiah Davis,Jets,South Dakota State,14,253,2282,9,163,90,10,45,14,19,220,11.6,15.7,38,2
,16,6,5,181,Kimani Vidal,Chargers,Troy,16,238,1606,6.7,100.4,91,7,24,16,29,424,14.6,26.5,59,6
,17,6,10,186,Jase McClellan,Falcons,Alabama,9,192,1485,7.7,165,69,7,29,9,13,233,17.9,25.9,51,1
,18,6,29,205,Jawhar Jordan,Texans,Louisville,12,185,1774,9.6,147.8,91,8,27,12,16,177,11.1,14.8,35,1
,19,6,32,208,Dylan Laube,Raiders,New Hampshire,,249,2680,10.7,,,,47,,,,,,,
2020 - 2024 AVERAGES,,,,,,,,11.43,162.67,1651.07,10.52,142.81,82.18,7.42,25.67,11.75,20.92,378.85,17.41,34.75,42.82,4.69
2023,1,1,8,8,Bijan Robinson,Falcons,Texas,11,126,2235,17.7,203.2,92,10,38,11,12,314,26.2,28.5,86,3
,2,1,12,12,Jahmyr Gibbs,Lions,Alabama,11,233,2554,11,232.2,83,11,40,11,15,138,9.2,12.5,13,
,3,2,21,52,Zach Charbonnet,Seahawks,UCLA,11,215,1770,8.2,160.9,63,9,13,11,15,171,11.4,15.5,36,
,4,3,8,71,Kendre Miller,Saints,Texas Christian,10,194,2805,14.5,280.5,99,10,34,10,1,17,17,1.7,,
,5,3,18,81,Tyjae Spears,Titans,Tulane,10,143,920,6.4,92,68,4,9,10,48,880,18.3,88,70,9
,6,3,21,84,De'Von Achane,Dolphins,Texas A&M,16,201,2266,11.3,141.6,97,13,40,16,38,768,20.2,48,89,10
,7,3,25,88,Tank Bigsby,Jaguars,Auburn,,,,,,,,,,,,,,,
,8,4,13,115,Roschon Johnson,Bears,Texas,,244,1623,6.65,,,,26,,,,,,,
,9,5,8,143,Israel Abanikanda,Jets,Pittsburgh,11,136,1350,9.9,122.7,73,7,20,11,13,182,14,16.5,33,3
,10,5,28,163,Chase Brown,Bengals,Illinois,10,95,1508,15.9,150.8,93,10,26,10,2,22,11,2.2,17,1
,11,5,37,172,Eric Gray,Giants,Oklahoma,12,241,2499,10.4,208.3,98,12,40,12,4,50,12.5,4.2,26,1
,12,5,41,176,Evan Hull,Colts,Northwestern,,,,,,,,,,,,,,,
,13,6,16,193,Chris Rodriguez,Commanders,Kentucky,9,233,1669,7.2,185.4,50,7,25,9,10,139,13.9,15.4,,
,14,6,35,212,Deuce Vaughn,Cowboys,Kansas State,,,1901,,,,,21,,9,159,,,,1
,15,6,38,215,Zach Evans,Rams,Mississippi,5,37,512,13.8,102.4,66,2,9,5,3,38,12.7,7.6,18,1
,16,7,5,222,DeWayne McBride,Vikings,Alabama-Birmingham,9,121,963,8,107,48,5,12,9,4,48,12,5.3,7,0
,17,7,18,235,Lew Nichols,Packers,Central Michigan,,84,1078,12.8,,,,23,,,,,,,
,18,7,20,237,Kenny McIntosh,Seahawks,Georgia,13,136,1423,10.5,109.5,80,5,20,13,15,249,16.6,19.2,45,2
2020 - 2024 AVERAGES,,,,,,,,10.62,162.60,1692.25,10.95,161.27,77.69,8.08,24.75,10.62,13.50,226.79,15.00,20.35,40.00,3.10
2022,1,2,4,36,Breece Hall,Jets,Iowa State,13,220,2127,9.7,163.6,,,29,13,20,588,29.4,45.2,,8
,2,2,9,41,Kenneth Walker,Seahawks,Michigan State,8,200,1326,6.6,165.8,58,2,16,8,14,270,19.3,33.8,63,7
,3,2,31,63,James Cook,Bills,Georgia,,,,,,,,,,,,,,,
,4,3,27,91,Rachaad White,Buccaneers,Arizona State,,,,,,,,,,,,,,,
,5,3,29,93,Tyrion Davis-Price,49ers,Louisiana State,,,,,,,,,,,,,,,
,6,3,34,98,Brian Robinson,Commanders,Alabama,10,126,781,6.2,78.1,52,2,14,10,20,223,11.2,22.3,32,1
,7,4,2,107,Dameon Pierce,Texans,Florida,11,227,2123,9.4,193,69,11,32,11,4,124,31,11.3,74,1
,8,4,17,122,Zamir White,Raiders,Georgia,11,148,2086,14.1,189.6,90,10,34,11,7,233,33.3,21.2,66,3
,9,4,18,123,Isaiah Spiller,Chargers,Texas A&M,11,190,1343,7.1,122.1,66,7,18,11,11,101,9.2,9.2,41,
,10,4,22,127,Pierre Strong,Patriots,South Dakota State,,,,,,,,,,,,,,,
,11,4,26,131,Hassan Haskins,Titans,Michigan,,,,,,,,,,,,,,,
,12,5,8,151,Tyler Allgeier,Falcons,Brigham Young,12,231,2470,10.7,205.8,89,10,29,12,9,114,12.7,9.5,25,
,13,5,11,154,Snoop Conner,Jaguars,Mississippi,13,192,1622,8.4,124.8,76,,27,15,2,46,23,3.1,32,
,14,5,13,156,Jerome Ford,Browns,Cincinnati,15,22,159,7.2,10.6,80,0,2,15,42,827,19.7,55.1,80,8
,15,5,21,164,Kyren Williams,Rams,Notre Dame,,,,,,,,,,,,,,,
,16,5,26,169,Ty Chandler,Vikings,North Carolina,13,259,2252,8.7,173.2,82,10,39,13,1,21,21,1.6,21,1
,17,6,4,183,Kevin Harris,Patriots,South Carolina,11,257,1556,6.1,141.5,63,8,22,11,6,140,23.3,12.7,45,2
,18,6,17,196,Tyler Badie,Ravens,Missouri,10,193,1186,6.1,118.6,40,6,18,10,16,306,19.1,30.6,74,3
,19,6,22,201,Keaontay Ingram,Cardinals,USC,,,,,,,,,,,,,,,
,20,6,24,203,Trestan Ebner,Bears,Baylor,13,,,,,,,,,57,1074,,,,16
,21,6,29,208,Connor Heyward,Steelers,Michigan State,12,57,261,4.6,21.8,22,0,10,12,47,580,12.3,48.3,33,6
,22,7,29,250,Brittain Brown,Raiders,UCLA,6,98,973,9.9,162.2,91,4,12,6,14,189,13.5,31.5,27,2
,23,7,30,251,Isaih Pacheco,Chiefs,Rutgers,,154,1414,9.2,,,,18,,,,,,,
,24,7,39,260,Zander Horvath,Chargers,Purdue,13,243,2215,9.1,170.4,82,11,34,13,17,283,16.6,21.8,64,5
2020 - 2024 AVERAGES,,,,,,,,11.38,176.06,1493.38,8.32,136.07,68.57,6.23,22.13,11.40,17.94,319.94,19.64,23.81,48.36,4.85
2021,1,1,24,24,Najee Harris,Steelers,Alabama,13,291,2776,9.5,213.5,89,12,34,13,15,260,17.3,20,,2
,2,1,25,25,Travis Etienne,Jaguars,Clemson,13,211,2459,11.7,189.2,95,12,35,13,3,71,23.7,5.5,51,2
,3,2,3,35,Javonte Williams,Broncos,North Carolina,15,159,2287,14.4,152.5,80,11,27,15,13,363,27.9,24.2,69,5
,4,3,24,88,Trey Sermon,49ers,Ohio State,7,111,825,7.4,117.9,48,3,11,7,15,201,13.4,28.7,62,0
,5,4,2,107,Michael Carter,Jets,North Carolina,14,296,2536,8.6,181.1,72,12,41,14,37,410,11.1,29.3,58,2
,6,4,14,119,Kene Nwangwu,Vikings,Iowa State,10,158,1329,8.4,132.9,94,5,16,10,13,129,9.9,12.9,25,
,7,4,15,120,Rhamondre Stevenson,Patriots,Oklahoma,,,,,,,,,,,,,,,
,8,4,21,126,Chuba Hubbard,Panthers,Oklahoma State,14,,2330,,166.4,,,23,,,,,,,
,9,5,6,150,Kenneth Gainwell,Eagles,Memphis,15,199,1834,9.2,122.3,68,9,32,,,,,,,
,10,5,40,184,Ben Mason,Ravens,Michigan,10,80,719,9,71.9,65,2,11,10,15,188,12.5,18.8,42,3
,11,6,10,194,Elijah Mitchell,49ers,Louisiana-Lafayette,8,,1903,,237.8,,,28,,,,,,,
,12,6,12,196,Gary Brightwell,Giants,Arizona,4,78,519,6.7,129.8,40,3,8,4,9,58,6.4,14.5,14,0
,13,6,14,198,Larry Rountree,Chargers,Missouri,11,201,1147,5.7,104.3,81,5,21,11,7,44,6.3,4,11,
,14,6,18,202,Chris Evans,Bengals,Michigan,10,188,1115,5.9,111.5,,5,15,10,40,511,12.8,51.1,,4
,15,6,27,211,Demetric Felton,Browns,UCLA,8,166,1347,8.1,168.4,84,6,14,8,23,391,17,48.9,80,2
,16,6,33,217,Khalil Herbert,Bears,Virginia Tech,10,118,861,7.3,86.1,78,3,9,10,9,130,14.4,13,34,1
,17,7,5,233,Jake Funk,Rams,Maryland,,,,,,,,,,,,,,,
,18,7,17,244,Gerrid Doaks,Dolphins,Cincinnati,10,214,1705,8,170.5,77,7,22,10,6,77,12.8,7.7,22,2
,19,7,29,256,Kylin Hill,Packers,Mississippi State,11,176,1750,9.9,159.1,77,8,24,11,14,278,19.9,25.3,46,1
,20,7,30,257,Jermar Jefferson,Lions,Oregon State,14,205,1861,9.1,132.9,90,11,34,14,23,372,16.2,26.6,81,3
2020 - 2024 AVERAGES,,,,,,,,10.94,178.19,1627.94,8.68,147.12,75.87,7.13,22.50,10.67,16.13,232.20,14.77,22.03,45.77,2.08
2020,1,1,32,32,Clyde Edwards-Helaire,Chiefs,Louisiana State,,,,,,,,,,,,,,,
,2,2,3,35,D'Andre Swift,Lions,Georgia,,149,1564,10.5,,,,25,,21,405,19.2,,,9
,3,2,9,41,Jonathan Taylor,Colts,Wisconsin,12,227,2824,12.4,235.3,82,12,35,12,3,99,33,8.3,76,1
,4,2,20,52,Cam Akers,Rams,Florida State,15,242,2105,8.7,140.3,,12,34,,,,,,,
,5,2,23,55,J.K. Dobbins,Ravens,Ohio State,,,,,,,,,,,,,,,
,6,2,30,62,AJ Dillon,Packers,Boston College,,,,,,,,,,,,,,,
,7,3,12,76,Ke'Shawn Vaughn,Buccaneers,Vanderbilt,13,215,2530,11.8,194.6,90,13,40,13,7,68,9.7,5.2,34,
,8,3,22,86,Zack Moss,Bills,Utah,,145,1098,7.6,,,17,,,25,425,,,,4
,9,3,29,93,Darrynton Evans,Titans,Appalachian State,7,,940,,134.3,,,7,,,,,,,
,10,4,6,112,Joshua Kelley,Chargers,UCLA,10,187,1469,7.9,146.9,78,6,16,10,19,352,18.5,35.2,60,6
,11,4,14,120,Lamical Perine,Jets,Florida,,,1654,,,,,15,,,,,,,
,12,4,18,124,Anthony McFarland,Steelers,Maryland,,,,,,,,,,,,,,,
,13,4,38,144,DeeJay Dallas,Seahawks,Miami (FL),13,129,1203,9.3,92.5,88,6,14,13,3,105,35,8.1,58,1
,14,5,26,172,Jason Huntley,Lions,New Mexico State,13,67,938,14,72.2,30,4,11,13,4,35,8.8,2.7,,0
,15,7,8,222,Eno Benjamin,Cardinals,Arizona State,13,359,2587,7.2,199,68,12,28,13,5,72,14.4,5.5,21,1
,16,7,31,245,Raymond Calais,Buccaneers,Louisiana-Lafayette,12,243,2574,10.6,214.5,90,12,31,12,4,18,4.5,1.5,8,
2020 - 2024 AVERAGES,,,,,,,,12.00,196.30,1790.50,10.00,158.84,75.14,10.44,23.27,12.29,10.11,175.44,17.89,9.50,42.83,3.14
,,,,,,,,,,,,,,,,,,,,,,
RUNNING BACK POSITION AVERAGES,,,,,,,,GP,Car,Yds,Avg,Y/G,Lng,100+,TD,GP,Rec,Yds,Avg,Y/G,Lng,TD
2020 - 2025 AVERAGES,,,,,,,,11.22,176.37,1643.89,9.59,150.85,75.32,8.03,23.67,11.28,15.38,260.04,16.62,21.44,44.47,3.42