NFL DRAFT 2020-2025 DEFENSIVE TACKLE HIGH SCHOOL COMBINE DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YEAR,PICK,ROUND,PICK #,PLAYER,NAME,TEAM,SCHOOL,HT,WT,WING,HAND,40,SHUT,3 CONE,VERT,BROAD,100M,110HH,200M,300IH,400M,400R,SHOT,DISCUS,JAVELIN,HJ,LJ,TJ
2025,1,1,5,5,Mason Graham ,Cleveland Browns,Michigan,76,295,76.5,,,,,,,,,,,,,41.33,107.42,,,,
,2,1,13,13,Kenneth Grant ,Miami Dolphins,Michigan,76,335,,,,,,,,,,,,,,60.25,118,,,,
,3,1,16,16,Walter Nolen ,Arizona Cardinals,Ole Miss,76,325,79,,5.21,4.55,,23.3,97,,,,,,,31.08,85,,,,
,4,1,21,21,Derrick Harmon,Pittsburgh Steelers,Oregon,77,360,81,,5.51,5.19,,22.2,,,,,,,,32.75,92.42,,,,
,5,1,28,28,Tyleik Williams ,Detroit Lions,Ohio State,75,330,,,5.11,4.59,,29,,,,,,,,,,,,,
,6,2,9,41,T.J. Sanders ,Buffalo Bills,South Carolina,77,275,,,,,,,,,,,,,,,,,,,
,7,2,11,43,Alfred Collins ,San Francisco 49ers,Texas,77,276,,,5,4.44,,29.3,,,,,,,,50.42,142.33,,,,37.42
,8,2,30,62,Shemar Turner ,Chicago Bears,Texas A&M,76,282,,,,,,27.6,,,,,,,,47.58,131.92,,,,
,9,2,31,63,Omarr Norman-Lott,Kansas City Chiefs,Tennessee,74,295,80,11,,,,,,,,,,,,47.67,110.58,,,,
,10,3,1,65,Darius Alexander ,New York Giants,Toledo,76,282,,,5.13,4.94,,27.7,,,,,,,,47.58,76.67,,,,
,11,3,7,71,Vernon Broughton ,New Orleans Saints,Texas,77,286,,,5.03,4.75,,24.4,,,,,,,,,,,,,
,12,3,22,86,Jamaree Caldwell,Los Angeles Chargers,Oregon,73,320,,,,,,,,,,,,,,,,,,,
,13,4,7,109,Deone Walker ,Buffalo Bills,Kentucky,79,350,,,,,,,,,,,,,,44.17,94.08,,,,
,14,4,9,111,Ty Robinson ,Philadelphia Eagles,Nebraska,77,280,,,,,,,,,,,,,,,,,,,
,15,4,11,113,CJ West ,San Francisco 49ers,Indiana,74,305,,,,,,,,,,,,,,,,,,,
,16,4,33,135,Tonka Hemingway ,Las Vegas Raiders,South Carolina,74,255,,,5.3,4.7,,26.3,,,,,,,,,,,,,
,17,4,35,137,Joshua Farmer ,New England Patriots,Florida State,74,251,,,,,,,,,,,,,,32.83,,,,,
,18,5,1,139,Tyrion Ingram-Dawkins,Minnesota Vikings,Georgia,77,298,,,5.24,4.5,,31.2,,,,,,,,,,,,,
,19,5,2,140,Cam Jackson ,Carolina Panthers,Florida,77,271,,,5.7,5.21,,21.9,,,,,,,,,91.75,,,,
,20,5,4,142,Rylie Mills ,Seattle Seahawks,Notre Dame,77,260,,,,,,,,,,,,,,45.92,148,,,,
,21,5,5,143,Jordan Phillips ,Miami Dolphins,Maryland,74,295,,,,,,,,,,,,,,,,,,,
,22,5,10,148,Ty Hamilton ,Los Angeles Rams,Ohio State,75,245,,,,,,,,,,,,,,,,,,,
,23,5,28,164,Yahya Black ,Pittsburgh Steelers,Iowa,77,250,,,,,,,,,,,,,,50.83,141,,,,
,24,6,4,180,JJ Pegues ,Las Vegas Raiders,Ole Miss,74,280,,,,,,28.1,,,,,,,,,,,,,
,25,6,14,190,Tim Smith ,Indianapolis Colts,Alabama,76,320,,10.5,,4.95,,21.7,,,,,,,45.19,51.83,171.25,,,,
,26,6,22,198,Warren Brinson ,Green Bay Packers,Georgia,77,297,,,,,,,,,,,,,,42.17,102.5,,,,
,27,6,34,210,Aeneas Peebles,Baltimore Ravens,Virginia Tech,74,265,,,,,,,,,,,,,,30.42,65.58,,,,
,28,7,1,217,Jay Toia,Dallas Cowboys,UCLA,74,315,,,,,,,,,,,,,,39.92,76,,,,
,29,7,8,224,Kyonte Hamilton ,Houston Texans,Rutgers,77,230,,,,,,,,,,,,,,,,,,,
,30,7,31,247,Tommy Akingbesote ,Dallas Cowboys,Maryland,76,270,,,,,,,,,,,,,,,,,,,
,31,7,37,253,Zeek Biggers ,Miami Dolphins,Georgia Tech,78,325,,,,,,,,,,,,,,,,,,,
2025 AVERAGE,,,,,,,,75.84,291.06,79.13,10.75,5.25,4.78,,26.06,97.00,,,,,,45.19,43.55,109.66,,,,37.42
2024,1,1,16,16,Byron Murphy,Seahawks,Texas,,,,,5.09,4.66,,31.3,,,,,,,,38.67,,,,,
,2,1,27,27,Darius Robinson,Cardinals,Missouri,,,,,,,,,,,,,,,,,,,,,
,3,2,3,35,Ruke Orhorhoro,Falcons,Clemson,,,,,,,,,,,,,,,47.42,,,,,,
,4,2,4,36,Jer'Zhan Newton,Commanders,Illinois,75,249,,,5.22,5.01,,24.4,,,,,,,,,,,,,
,5,2,6,38,T'Vondre Sweat,Titans,Texas,,,,,,,,,,,,,,,,,,,,,
,6,2,7,39,Braden Fiske,Rams,Florida State,77,334,84,7.87,,,,,,,,,,,,,,,,,
,7,2,16,48,Maason Smith,Jaguars,Louisiana State,,,,,,,,,,,,,,,,,,,,,
,8,2,17,49,Kris Jenkins,Bengals,Michigan,,,,,,,,,,,,,,,,,,,,,
,9,2,22,54,Michael Hall,Browns,Ohio State,74,327,,,4.99,4.82,,28.4,,,,,,,,,,,,,
,10,3,31,95,DeWayne Carter,Bills,Duke,,,,,,,,,,,,,,,,,,,,,
,11,3,33,97,McKinnley Jackson,Bengals,Texas A&M,72,284,,,5.27,4.88,,25.1,,,,,,,,,,,,,
,12,4,5,105,Justin Eboigbe,Chargers,Alabama,,,,,5.24,4.86,,28.4,,,,,,,,38.08,83.25,,,,
,13,4,9,109,Brandon Dorlus,Falcons,Oregon,,,,,5.68,5.16,,21.6,,,,,,,,,,,,,
,14,4,16,116,Jordan Jefferson,Jaguars,Louisiana State,,,,,,,,,,,,,,,,,,,,,
,15,6,2,178,Logan Lee,Steelers,Iowa,,,80.8,9.75,,4.82,,24.5,,,,,,,,,,,,,
,16,6,13,189,Mekhi Wingo,Lions,Louisiana State,,,,,,,,,,,,,,,,,,,,,
,17,6,20,196,Tyler Davis,Rams,Clemson,,,,,,,,,,,,,,,,,,,,,
,18,6,21,197,Zion Logue,Falcons,Georgia,,,,,,,,,,,,,,,,,,,,,
,19,6,23,199,Khristian Boyd,Saints,Northern Iowa,,,,,,,,,,,,,,,,,,,,,
,20,6,24,200,Jaden Crumedy,Panthers,Mississippi State,,,,,,,,,,,,,,,,,,,,,
,21,7,12,232,Levi Drake Rodriguez,Vikings,Texas A&M-Commerce,,,,,,,,,,,,,,,,,,,,,
,22,7,23,243,Jowon Briggs,Browns,Cincinnati,,,,,,,,,,,,,,,,,,,,,
,23,7,24,244,Justin Rogers,Cowboys,Auburn,,,,,,,,,,,,,,,,,,,,,
,24,7,27,247,Marcus Harris,Texans,Auburn,,,,,,,,,,,,,,,,,,,,,
2024 AVERAGE,,,,,,,,74.50,298.50,82.40,8.81,5.25,4.89,,26.24,,,,,,,47.42,38.38,83.25,,,,
2023,1,1,9,9,Jalen Carter,Eagles,Georgia,,,79.5,10.25,5.15,4.84,,28.7,,,,,,,,,,,,,
,2,1,19,19,Calijah Kancey,Buccaneers,Pittsburgh,73,264,,,5.2,4.88,,23.8,,,,,,,,,,,,,
,3,1,26,26,Mazi Smith,Cowboys,Michigan,,,,,,,,,,,,,,,,52.5,118.08,,,,
,4,1,29,29,Bryan Bresee,Saints,Clemson,,,,,4.8,4.28,,31.7,,,,,,,,,,,,,
,5,2,18,49,Keeanu Benton,Steelers,Wisconsin,,,,,,,,,,,,,,,,43,,,,,
,6,2,22,53,Gervon Dexter,Bears,Florida,78,273,,,4.88,4.74,,29.9,,,,,,,,48.92,122.5,97.25,,,
,7,3,1,64,Zacch Pickens,Bears,South Carolina,76,265,,,5.03,4.4,,28.1,,,,,,,,,,,,,
,8,3,7,70,Byron Young,Raiders,Alabama,,,,,,,,,,,,,,,,45.83,138.08,,,,
,9,3,26,89,Kobie Turner,Rams,Wake Forest,,,,,,,,,,,,,,,,50.08,105.83,106.17,,,
,10,3,33,96,Brodric Martin,Lions,Western Kentucky,75,361,,,5.56,4.88,,21.6,,,,,,,,,,,,,
,11,3,35,98,Siaki Ika,Browns,Baylor,76,280,,,5.39,5,,,,,,,,,,,,,,,
,12,4,8,110,Adetomiwa Adebawore,Colts,Northwestern,76,289,,,5.05,4.9,,26.9,,,,,,,,,,,,,
,13,4,14,116,Colby Wooden,Packers,Auburn,75,334,,,5.53,4.8,,24.1,,,,,,,,48.67,135.75,,,,
,14,4,21,123,Cameron Young,Seahawks,Mississippi State,,,,,,,,,,,,,,,,,,,,,
,15,5,6,141,Jaquelin Roy,Vikings,Louisiana State,,,,,,,,,,,,,,,,41.92,99.5,,,,
,16,6,17,194,Keondre Coburn,Chiefs,Texas,,,,,,,,,,,,,,,,,,,,,
,17,6,23,200,Scott Matlock,Chargers,Boise State,,,,,5.36,5.13,,26.1,,,,,,,,,,,,,
,18,6,36,213,Dante Stills,Cardinals,West Virginia,78,288,,,5.3,4.83,,22,,,,,,,,,,,,,
,19,7,1,218,Travis Bell,Bears,Kennesaw State,,,,,,,,,,,,,,,,,,,,,
,20,7,10,227,Raymond Vohasek,Jaguars,North Carolina,,,,,5.07,4.46,,27.5,,,,,,,,,,,,,
,21,7,14,231,Nesta Jade Silvera,Raiders,Arizona State,,,,,,,,,,,,,,,,,,,,,
,22,7,26,243,Jordon Riley,Giants,Oregon,,,,,,,,,,,,,,,,,,,,,
,23,7,32,249,Moro Ojomo,Eagles,Texas,,,,,,,,,,,,,,,,,,,,,
,24,7,42,259,Desjuan Johnson,Rams,Toledo,,,,,,,,,,,,,,,,,,,,,
2023 AVERAGE,,,,,,,,75.88,294.25,79.50,10.25,5.19,4.76,,26.40,,,,,,,,47.27,119.96,101.71,,,
2022,1,1,13,13,Jordan Davis,Eagles,Georgia,,,,,,,,,,,,,,,,48.17,,,,,
,2,1,28,28,Devonte Wyatt,Packers,Georgia,,,,,,,,,,12.42,,,,,,48.67,69.58,,,,
,3,2,1,33,Logan Hall,Buccaneers,Houston,,,,,5.38,5.35,,24.4,,,,,,,,,,,,,
,4,2,15,47,Phidarian Mathis,Commanders,Alabama,,,,,5.65,5,,24,,,,,,,,51.25,145.5,146.67,,,
,5,3,12,76,Travis Jones,Ravens,Connecticut,,,,,,,,,,,,,,,,44.08,145.92,,,,
,6,3,20,84,DeMarvin Leal,Steelers,Texas A&M,,,,,,,,,,,,,,,,,,,,,
,7,3,31,95,Zachary Carter,Bengals,Florida,,,,,,,,,,,,,,,,,,,,,
,8,4,3,108,Perrion Winfrey,Browns,Oklahoma,,,,,,,,,,,,,,,,,,,,,
,9,4,21,126,Neil Farrell,Raiders,Louisiana State,,,,,,,,,,,,,,,,,83.42,,,,
,10,5,4,147,DJ Davidson,Giants,Arizona State,,,,,,,,,,,,,,,,68.5,187.92,,,18.08,
,11,5,7,150,Thomas Booker,Texans,Stanford,76,265,,,5.11,4.78,,32.5,,,,,,,,50.25,104.58,,,,
,12,5,16,159,Eric Johnson,Colts,Missouri State,,,,,,,,,,,,,,,,45.25,117.67,,,,
,13,5,17,160,Otito Ogbonnia,Chargers,UCLA,,,,,,,,,,,,,,,,,,,,,
,14,5,32,175,Matthew Butler,Raiders,Tennessee,,,,,5.35,5.04,,26.5,,,,,,,,40.67,74.08,,,,
,15,5,35,178,John Ridgeway,Cowboys,Arkansas,74,223,,,5.28,4.4,,29.5,,,,,,,,52.83,120.5,,,,
,16,6,15,194,Jordan Jackson,Saints,Air Force,,,,,,,,,,,,,,,,,,,,,
2022 AVERAGE,,,,,,,,75.00,244.00,,,5.35,4.91,,27.38,,12.42,,,,,,49.96,116.57,146.67,,18.08,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022 - 2024 AVERAGES,,,,,,,,75.30,281.95,80.34,9.94,5.26,4.84,,26.52,97.00,12.42,,,,,46.31,44.79,107.36,124.19,,18.08,37.42