NFL DRAFT 2022-2025 WIDE RECEIVER HIGH SCHOOL COMBINE DATA,,,,,,,,,,,,,,,,,,,,,
,PICK,ROUND,PICK #,PLAYER,NAME,TEAM,SCHOOL,HT,WT,WING,HAND,40,SHUT,VERT,BROAD,100M,200M,400M,HJ,LJ,TJ
2025,1,1,8,8,Tetairoa McMillan ,Panthers,Arizona,77,185,78.5,10,,,,,,,,,,
,2,1,19,19,Emeka Egbuka ,Buccaneers,Ohio State,73,190,75,9,,4.2,35.1,,,,,,,
,3,1,23,23,Matthew Golden ,Packers,Texas,73,190,,,,,,,10.93,23.7,,,21.67,
,4,2,7,39,Luther Burden III ,Bears,Missouri,72,200,,,,,,,,,,,,
,5,2,23,55,Tre Harris ,Chargers,Ole Miss,75,185,,,4.77,4.51,29.8,119,,,,,,
,6,2,26,58,Jack Bech ,Raiders,TCU,74,215,,,,,,,,,,,,
,7,3,5,69,Kyle Williams ,Patriots,Washington State,72,173,82,9,4.74,4.54,33.6,,11.46,22.83,,,,
,8,3,6,70,Isaac TeSlaa,Lions,Arkansas,75,185,,,,,,,11.73,,,,22.25,
,9,3,10,74,Pat Bryant ,Broncos,Illinois,75,185,79,9,4.87,4.32,32,,12.18,25.19,,5.42,18.83,34.25
,10,3,15,79,Jaylin Noel ,Texans,Iowa State,70,175,,,,,,,11.07,23.84,1:1.14,6.42,,
,11,3,23,87,Savion Williams ,Packers,TCU,76,200,,,,,,,,22.7,,,,
,12,3,38,102,Tai Felton ,Vikings,Maryland,74,172,,,4.81,4.13,35,,,,,,,
,13,4,1,103,Chimere Dike ,Titans,Florida,72,180,,,,,,,10.85,21.95,51.82,,22.33,34.08
,14,4,6,108,Dont'e Thornton Jr. ,Raiders,Tennessee,76,185,,,4.63,4.5,33,,11.02,,,6.17,22.17,43.33
,15,4,8,110,Arian Smith,Jets,Georgia,73,165,,,,,,,10.3,21.01,,,25.25,
,16,4,26,128,Jaylin Lane ,Commanders,Virginia Tech,70,175,,,,,,,11.13,22.98,,,15.58,
,17,4,31,133,Jalen Royals ,Chiefs,Utah State,73,180,,,,,,,,25.9,,6.33,,
,18,4,34,136,Elic Ayomanor ,Titans,Stanford,74,205,,,,,,,10.76,21.66,50.15,,21.75,
,19,4,36,138,Jordan Watkins ,49ers,Ole Miss,72,180,,,,4.34,,,10.97,22.41,52.53,,,
,20,5,22,158,KeAndre Lambert-Smith,Chargers,Auburn,73,176,,,4.5,3.83,39.3,,11.68,24.25,,,21.5,
,21,5,30,166,Tory Horton ,Seahawks,Colorado State,73,170,,,4.76,,35,,,,,6.17,,
,22,6,27,203,Lajohntay Wester,Ravens,Colorado,69,148,,,4.81,4.22,26,110,12.54,27.3,,,,
,23,6,32,208,Jimmy Horn Jr. ,Panthers,Colorado,69,160,,,,,,,10.66,26.35,1:0.09,,23,47.42
,24,7,19,235,Tez Johnson ,Buccaneers,Oregon,69,138,,,4.61,4.37,37.2,,,,,,,
,25,7,22,238,Ricky White III ,Seahawks,UNLV,73,165,76,9,,,,,11.78,,,,,
,26,7,24,240,Kaden Prather ,Bills,Maryland,75,200,,,4.6,4.56,29.7,,,,,,,
,27,7,26,242,Konata Mumpfield ,Rams,Pittsburgh,72,175,,,,,,,,,,,,
,28,7,28,244,Dominic Lovett ,Lions,Georgia,70,175,,,4.65,4.27,31.4,,11.04,23.45,,,20.25,
,29,7,36,252,Junior Bergen ,49ers,Montana,71,165,,,,,,,11.95,26.7,57.24,,,
,2025 AVERAGE,,,,,,,72.76,179.21,78.10,9.20,4.70,4.32,33.09,114.50,11.30,23.89,52.94,6.10,21.33,39.77
2024,1,1,4,4,Marvin Harrison,Cardinals,Ohio State,76,185,,,4.64,4.52,31.3,,,23.35,54.4,,,
,2,1,6,6,Malik Nabers,Giants,Louisiana State,,,74,,4.69,4.39,32.5,121,,23.42,,,,
,3,1,9,9,Rome Odunze,Bears,Washington,74,198,76.5,9,4.55,4,33.8,,10.67,21.25,54.02,,,
,4,1,23,23,Brian Thomas,Jaguars,Louisiana State,,,,,,,,,11.23,22.12,,,,
,5,1,28,28,Xavier Worthy,Chiefs,Texas,,,,,,,,,10.55,21.41,51.76,,22.17,
,6,1,31,31,Ricky Pearsall,49ers,Florida,,,,,4.65,4.37,40.1,,11.02,,,,,
,7,1,32,32,Xavier Legette,Panthers,South Carolina,,,,,,,,,,,,,,
,8,2,1,33,Keon Coleman,Bills,Florida State,,,,,,,,,11.76,24.62,58.04,6.17,21.08,48.67
,9,2,2,34,Ladd McConkey,Chargers,Georgia,71,158,,,4.56,4.12,36.6,,11.23,,,,,
,10,2,5,37,Ja'Lynn Polk,Patriots,Washington,,,,,4.65,4.13,35.4,,,22.84,52.94,6,,
,11,2,20,52,Adonai Mitchell,Colts,Texas,,,,,,,,,,,,,18.5,
,12,3,1,65,Malachi Corley,Jets,Western Kentucky,70,185,74.5,8.6,4.72,4.69,27,116,12.24,,59.61,,,
,13,3,16,80,Jermaine Burton,Bengals,Alabama,,,,,4.56,3.95,39,,,,,,,
,14,3,20,84,Roman Wilson,Steelers,Michigan,72,175,,,4.37,3.96,39.1,,10.68,22.54,,5,21.08,40.08
,15,3,28,92,Jalen McMillan,Buccaneers,Washington,73,176,,,,4.3,30.6,,10.67,21.64,50.97,,,
,16,3,36,100,Luke McCaffrey,Commanders,Rice,,,,,4.64,4.27,30.7,,11.51,23.25,50.44,,,
,17,4,2,102,Troy Franklin,Broncos,Oregon,,,,,,,,,,,,,,
,18,4,10,110,Javon Baker,Patriots,Central Florida,72,180,,9.25,4.73,4.2,33.7,,12.17,,,6,,
,19,4,13,113,Devontez Walker,Ravens,North Carolina,,,,,,,,,11.54,22.82,52.56,,20.83,
,20,4,35,135,Jacob Cowing,49ers,Arizona,,,,,,,,,10.71,21.63,,,,
,21,5,7,142,Anthony Gould,Colts,Oregon State,,,,,4.51,4.26,40.9,,10.49,21.77,,,19.17,39.17
,22,5,17,152,Ainias Smith,Eagles,Texas A&M,70,182,,,4.59,4.14,35,,11.11,,,,20.17,38.67
,23,5,21,156,Jamari Thrash,Browns,Louisville,,,,,4.72,4.34,32.6,,11.42,23.91,,5.83,18.17,37.33
,24,5,35,170,Bub Means,Saints,Pittsburgh,73,212,,,4.61,4.51,32,,11.68,,,,,
,25,6,6,182,Jha'Quan Jackson,Titans,Tulane,,,,,,,,,,,,,,
,26,6,8,184,Malik Washington,Dolphins,Virginia,,,,,,,,,11.23,24.49,,,17.58,
,27,6,9,185,Johnny Wilson,Eagles,Florida State,,,83,9.5,4.59,4.31,35.2,,11.65,23.94,54.33,,,
,28,6,11,187,Casey Washington,Falcons,Illinois,,,,,,,,,,,,,,
,29,6,15,191,Tejhaun Palmer,Cardinals,Alabama-Birmingham,,,,,,,,,,,,4.5,,
,30,6,37,213,Jordan Whittington,Rams,Texas,,,,,4.68,4.07,32.8,,,22.51,,,,
,31,6,40,216,Ryan Flournoy,Cowboys,Southeast Missouri State,,,,,,,,,11.54,23.46,,5.83,,
,32,7,5,225,Brenden Rice,Chargers,USC,74,204,79,9.5,4.62,4.2,36.3,,10.78,21.84,,,,
,33,7,15,235,Devaughn Vele,Broncos,Utah,,,,,,,,,,,,,,
,34,7,21,241,Tahj Washington,Dolphins,USC,,,,,,,,,,22,1:1.77,,22.17,44.42
,35,7,33,253,Cornelius Johnson,Chargers,Michigan,75,197,,,4.65,4.13,34.6,,11.64,23.44,,,,
2024 AVERAGE,,,,,,,,72.73,186.55,77.40,9.17,4.62,4.24,34.46,118.50,11.25,22.77,53.91,5.62,20.09,41.39
2023,1,1,20,20,Jaxon Smith-Njigba,Seahawks,Ohio State,73,199,,,4.59,4.08,36.4,,11.46,24.11,,,19,39.5
,2,1,21,21,Quentin Johnston,Chargers,Texas Christian,,,,,,,,,,,,6.83,22.58,42.5
,3,1,22,22,Zay Flowers,Ravens,Boston College,,,,,,,,,,,,,,
,4,1,23,23,Jordan Addison,Vikings,USC,71,161,,,4.51,4.34,33.6,,10.85,22.56,,5.67,22.17,
,5,2,8,39,Jonathan Mingo,Panthers,Mississippi,,,,,,,,,11.27,22.69,,,,
,6,2,19,50,Jayden Reed,Packers,Michigan State,,,,,,,,,,,,,,
,7,2,24,55,Rashee Rice,Chiefs,Southern Methodist,,,,,,,,,11.74,23.26,,,,40.92
,8,2,32,63,Marvin Mims,Broncos,Oklahoma,71,161,,,4.67,4.5,37.2,,,,,,,
,9,3,6,69,Nathaniel Dell,Texans,Houston,,,,,,,,,,,57.99,5.83,21.92,
,10,3,10,73,Jalin Hyatt,Giants,Tennessee,72,164,,,4.31,,34.7,,10.46,21.14,,,,
,11,3,11,74,Cedric Tillman,Browns,Tennessee,,,,,,,,,11.28,23.06,,5.83,20.67,43.08
,12,3,16,79,Josh Downs,Colts,North Carolina,,,,,4.47,4.12,41.9,,11.46,23.4,,,22.42,46.58
,13,3,31,94,Michael Wilson,Cardinals,Stanford,,,,,,4.39,,,,,,,,
,14,3,37,100,Tre Tucker,Raiders,Cincinnati,,,,,4.5,4.17,34.8,,10.41,21.32,52.7,,23.58,
,15,4,23,125,Derius Davis,Chargers,Texas Christian,69,145,,,4.63,4.32,33.4,,10.94,21.55,46.86,,,
,16,4,29,131,Charlie Jones,Bengals,Purdue,,,,,,,,,,,,,,
,17,4,31,133,Tyler Scott,Bears,Cincinnati,,,,,4.52,4.4,40,,10.94,21.39,51.03,,21.92,
,18,5,15,150,Justin Shorter,Bills,Florida,,,,,4.52,4.26,32.6,,11.11,,54.39,,,
,19,5,24,159,Dontayvion Wicks,Packers,Virginia,,,,,,,,,,,,,,
,20,5,42,177,Puka Nacua,Rams,Brigham Young,,,,,4.57,4.36,35.8,,11.01,22.38,,,23.83,
,21,6,8,185,Parker Washington,Jaguars,Penn State,70,201,,,4.57,4.13,37,,,,,,,
,22,6,10,187,Kayshon Boutte,Patriots,Louisiana State,,,,,,,,,10.97,20.87,47.83,,,
,23,6,14,191,Trey Palmer,Buccaneers,Nebraska,72,179,,,4.51,4.27,33,,10.39,20.91,51.42,,,
,24,6,18,195,A.T. Perry,Saints,Wake Forest,76,169,,,,4.39,37.5,,,,,5.58,22.08,39.17
,25,6,28,205,Xavier Hutchinson,Texans,Iowa State,75,215,,,4.57,4.34,35.7,,,,,,21.67,44.42
,26,6,29,206,Andrei Iosivas,Bengals,Princeton,,,,,,,,,,,,,,
,27,6,33,210,Demario Douglas,Patriots,Liberty,,,,,5,4.55,25.4,,10.71,21.66,50.06,,24.08,
,28,7,2,219,Antoine Green,Lions,North Carolina,,,,,,,,,11.6,,,5.75,20.08,
,29,7,11,228,Cotton Dowell,Titans,Tennessee-Martin,,,,,4.5,4.38,37.5,,10.91,21.54,52.54,,23.17,45.92
,30,7,27,244,Jalen Brooks,Cowboys,South Carolina,,,,,,,,,,,,,,
,31,7,36,253,Ronnie Bell,49ers,Michigan,,,,,,,,,11.28,22.89,54.34,,22,42.58
,32,7,39,256,Grant DuBose,Packers,Charlotte,,,,,,,,,,,,6,19.58,41.75
2023 AVERAGE,,,,,,,,72.11,177.11,,,4.56,4.31,35.41,,11.04,22.17,51.92,5.93,21.92,42.64
2022,1,1,8,8,Drake London,Falcons,USC,76,205,,,,4.51,31.9,,,,,,,
,2,1,10,10,Garrett Wilson,Jets,Ohio State,,,,,4.63,4.2,36.1,,11.39,,,,22.17,
,3,1,11,11,Chris Olave,Saints,Ohio State,72,160,,,4.73,4.19,34.5,,10.85,22.36,51.41,5.83,23.5,
,4,1,12,12,Jameson Williams,Lions,Alabama,74,171,,,4.48,4.45,33.5,,10.54,21.23,47.18,6,22.92,
,5,1,16,16,Jahan Dotson,Commanders,Penn State,71,165,,,4.73,4.73,29.1,,10.84,21.74,54.04,,24.33,
,6,1,18,18,Treylon Burks,Titans,Arkansas,,,,,,,,,11.8,23.71,,,,
,7,2,2,34,Christian Watson,Packers,North Dakota State,,,,,,,,,12.16,23.66,,,18.67,36.83
,8,2,11,43,Wan'Dale Robinson,Giants,Kentucky,70,179,,,,4.27,34.8,,11.59,,,,,
,9,2,12,44,John Metchie,Texans,Alabama,,,,,4.64,4.2,31.6,,,,,,,
,10,2,18,50,Tyquan Thornton,Patriots,Baylor,74,165,,,4.71,4.59,32.5,,10.5,21.37,46.77,,,
,11,2,20,52,George Pickens,Steelers,Georgia,76,190,,,4.73,4.37,32.9,,,,,,,
,12,2,21,53,Alec Pierce,Colts,Cincinnati,75,191,,,4.65,4.21,38.7,,11.2,22.27,,5.5,21.17,45.92
,13,2,22,54,Skyy Moore,Chiefs,Western Michigan,,,,,,,,,11.86,,,,,
,14,3,7,71,Velus Jones,Bears,Tennessee,,,,,,,,,10.56,21.77,,,18.92,
,15,3,24,88,Jalen Tolbert,Cowboys,South Alabama,,,,,,,,,,,,,,
,16,3,35,99,David Bell,Browns,Purdue,,,,,,,,,,,,,,
,17,3,41,105,Danny Gray,49ers,Southern Methodist,,,,,4.59,4.51,36,,10.59,,,,,
,18,4,20,125,Erik Ezukanma,Dolphins,Texas Tech,,,,,4.62,4.33,31.2,,12.15,24.51,,,,
,19,4,27,132,Romeo Doubs,Packers,Nevada,74,176,,,4.72,,33,,11.34,22.93,,,,
,20,4,33,138,Calvin Austin,Steelers,Memphis,68,148,,,4.38,4.26,36.9,,10.55,21.25,48.35,,22.08,
,21,5,5,148,Khalil Shakir,Bills,Boise State,73,178,,,4.75,4.38,31.6,,,,,,,
,22,5,19,162,Montrell Washington,Broncos,Samford,68,168,,,4.59,4.1,35.9,,10.73,21.99,54.31,,21.25,
,23,5,20,163,Kyle Philips,Titans,UCLA,,,,,4.62,4.16,34.3,,11.48,,,,20.58,
,24,6,12,191,Jalen Nailor,Vikings,Michigan State,,,,,4.69,4.21,37.5,,10.7,21.57,58.7,,,
,25,6,23,202,Michael Woods,Browns,Oklahoma,73,188,,,4.76,4.44,34.7,,,,,,20.17,
,26,7,8,229,Bo Melton,Seahawks,Rutgers,,,,,,,,,10.7,21.71,48.42,,23.33,
,27,7,12,233,Dareke Young,Seahawks,Lenoir-Rhyne,72,174,,,4.97,4.3,32.2,,,,1:7.84,5.33,,
,28,7,37,258,Samori Toure,Packers,Nebraska,73,168,,,4.71,4.34,31.6,,11.36,22.79,51.37,6,21.58,
2022 AVERAGE,,,,,,,,72.60,175.07,,,4.67,4.34,33.83,,11.14,22.32,51.17,5.73,21.59,41.38
,,,,,,,,,,,,,,,,,,,,,
WIDE REICEVER POSITION AVERAGES,,,,,,,,HT,WT,WING,HAND,40,SHUT,VERT,BROAD,100M,200M,400M,HJ,LJ,TJ
2022 - 2025 AVERAGES,,,,,,,,6004.00,180.00,77 3/4,9 1/8,4.64,4.30,34.20,9'8,11.18,22.79,52.48,"5'10""","21'3""","41'4"""